&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&promotion.the_start_time_of_the_effective_time_is_not_greater_than_the_end_time&##&,&##&the start time of the effective time is not greater than the end time&##&
&##&promotion.dont_be_in_a_hurry.&##&,&##&dont be in a hurry.&##&
&##&promotion.the_start_time_of_the_valid_time_of_the_coupon_cannot_be_greater_than_the_end_time&##&,&##&the start time of the valid time of the coupon cannot be greater than the end time&##&
&##&promotion.create_a_full_promotional_activities&##&,&##&create a full promotional activities&##&
&##&promotion.name_of_voucher_activity&##&,&##&name of voucher activity&##&
&##&promotion.time&##&,&##&time&##&
&##&promotion.promotional_time&##&,&##&promotional time&##&
&##&promotion.type_in_a_degree&##&,&##&type in a degree&##&
&##&promotion.blog_articles&##&,&##&blog articles&##&
&##&promotion.remove_save_failed_file&##&,&##&remove save failed file&##&
&##&promotion.direct_store&##&,&##&direct store&##&
&##&promotion.other_controls_on_the_tabs_to_set_up_text_format_directly&##&,&##&other controls on the tabs to set up text format directly&##&
&##&promotion.retail_price&##&,&##&retail price&##&
&##&promotion.collage_activity_list&##&,&##&collage activity list&##&
&##&promotion.tile&##&,&##&tile&##&
&##&promotion.the_pre_sale_information_is_clearly_displayed_in_the_commodity_page&##&,&##&the pre sale information is clearly displayed in the commodity page&##&
&##&promotion.to_be_submitted&##&,&##&to be submitted&##&
&##&promotion.acquired_after_pumping&##&,&##&acquired after pumping&##&
&##&promotion.not_proportionate&##&,&##&not proportionate&##&
&##&promotion.single_map_uploading&##&,&##&single map uploading&##&
&##&promotion.the_name_of_the_activity_is_limited_to&##&,&##&the name of the activity is limited to&##&
&##&promotion.daily_period&##&,&##&daily period&##&
&##&promotion.partial_single&##&,&##&partial single&##&
&##&promotion.all_activities_under_the_label_will_lose_the_label_properties&##&,&##&all activities under the label will lose the label properties&##&
&##&promotion.cell_alignment&##&,&##&cell alignment&##&
&##&promotion.let_go&##&,&##&let go&##&
&##&promotion.promotion_name_is_limited&##&,&##&promotion name is limited&##&
&##&promotion.the_success_of_the_package_promotion_campaign&##&,&##&the success of the package promotion campaign&##&
&##&promotion.more_than_one_piece&##&,&##&more than one piece&##&
&##&promotion.recruitment_threshold&##&,&##&recruitment threshold&##&
&##&promotion.full_promotion&##&,&##&full promotion&##&
&##&promotion.whether_the_return_freight_is_not_empty&##&,&##&whether the return freight is not empty&##&
&##&promotion.please_select_the_product_you_need_to_add&##&,&##&please select the product you need to add&##&
&##&promotion.is_it_sure_to_delete_this_discount&##&,&##&is it sure to delete this discount&##&
&##&promotion.order_draw&##&,&##&order draw&##&
&##&promotion.export_all_the_goods&##&,&##&export all the goods&##&
&##&promotion.the_name_of_the_coupon_cannot_be_empty&##&,&##&the name of the coupon cannot be empty&##&
&##&promotion.english_phonetic_alphabet&##&,&##&english phonetic alphabet&##&
&##&promotion.victory&##&,&##&victory&##&
&##&promotion.the_start_time_of_the_coupon_cannot_be_greater_than_the_end_time&##&,&##&the start time of the coupon cannot be greater than the end time&##&
&##&promotion.personal_limit_purchase_number_or_total_limit_purchase_number_input_is_incorrect&##&,&##&personal limit purchase number or total limit purchase number input is incorrect&##&
&##&promotion.saturday&##&,&##&saturday&##&
&##&promotion.combined_promotion_activities&##&,&##&combined promotion activities&##&
&##&promotion.add_business&##&,&##&add business&##&
&##&promotion.minow&##&,&##&minow&##&
&##&promotion.ritual_gold_card_center&##&,&##&ritual gold card center&##&
&##&promotion.the_sum_of_the_winning_rate_cant_be_greater_than_that&##&,&##&The sum of winning rates must be equal to&##&
&##&promotion.use&##&,&##&use&##&
&##&promotion.the_upper_limit_must_be_a_positive_integer&##&,&##&the upper limit must be a positive integer&##&
&##&promotion.empty_search&##&,&##&empty search&##&
&##&promotion.extra&##&,&##&extra&##&
&##&promotion.task_state&##&,&##&task state&##&
&##&promotion.commodity_name&##&,&##&commodity name&##&
&##&promotion.content&##&,&##&content&##&
&##&promotion.additional_success&##&,&##&additional success&##&
&##&promotion.residual_probation&##&,&##&residual probation&##&
&##&promotion.no_corresponding_video_can_be_found&##&,&##&no corresponding video can be found&##&
&##&promotion.front-end_development_resume&##&,&##&front-end development resume&##&
&##&promotion.small_circle&##&,&##&small circle&##&
&##&promotion.column&##&,&##&column&##&
&##&promotion.full&##&,&##&full&##&
&##&promotion.local_upload&##&,&##&local upload&##&
&##&promotion.a_sinister_smile&##&,&##&a sinister smile&##&
&##&promotion.position&##&,&##&position&##&
&##&promotion.affiliated_company&##&,&##&affiliated company&##&
&##&promotion.preview&##&,&##&preview&##&
&##&promotion.data_source_and_chart&##&,&##&data source and chart&##&
&##&promotion.details_of_the_commodity_group&##&,&##&details of the commodity group&##&
&##&promotion.create_a_second_killing_promotion&##&,&##&create a second killing promotion&##&
&##&promotion.method_can_get_the_pure_text_content_of_the_editor&##&,&##&method can get the pure text content of the editor&##&
&##&promotion.collage_price_maximum_input&##&,&##&collage price maximum input&##&
&##&promotion.school_name&##&,&##&school name&##&
&##&promotion.picture_address_has_been_replicated&##&,&##&picture address has been replicated&##&
&##&promotion.commodity_quantity&##&,&##&commodity quantity&##&
&##&promotion.an_amount_payable_is_empty_and_not_at_the_same_time&##&,&##&an amount payable is empty and not at the same time&##&
&##&promotion.the_rate_of_winning_is_not_empty&##&,&##&the rate of winning is not empty&##&
&##&promotion.split_into_a_column&##&,&##&split into a column&##&
&##&promotion.the_name_of_the_gift_card_cannot_be_empty&##&,&##&the name of the gift card cannot be empty&##&
&##&promotion.discount_promotion&##&,&##&discount promotion&##&
&##&promotion.judge_whether_there_is_any_content&##&,&##&judge whether there is any content&##&
&##&promotion.the_purchase_price_of_the_selected_commodities_adjustment_input_error&##&,&##&the purchase price of the selected commodities adjustment input error&##&
&##&promotion.background_color&##&,&##&background color&##&
&##&promotion.full_capacity_reduction&##&,&##&full capacity reduction&##&
&##&promotion.exchange_of_goods&##&,&##&exchange of goods&##&
&##&promotion.i_was_wrong&##&,&##&i was wrong&##&
&##&promotion.adding_trial_products&##&,&##&adding trial products&##&
&##&promotion.descending_order_by_numerical_value&##&,&##&descending order by numerical value&##&
&##&promotion.fixed_amount_cannot_be_negative&##&,&##&fixed amount cannot be negative&##&
&##&promotion.registration_details&##&,&##&registration details&##&
&##&promotion.look_at_associated_promotions&##&,&##&look at associated promotions&##&
&##&promotion.available_payment_methods&##&,&##&available payment methods&##&
&##&promotion.click_this_download&##&,&##&click this download&##&
&##&promotion.please_choose_the_goods_to_be_frozen_in_stock&##&,&##&please choose the goods to be frozen in stock&##&
&##&promotion.selection_of_goods_in_sequence_is_incorrect&##&,&##&selection of goods in sequence is incorrect&##&
&##&promotion.administrators&##&,&##&administrators&##&
&##&promotion.post_purchase_rules&##&,&##&post purchase rules&##&
&##&promotion.come_on&##&,&##&come on&##&
&##&promotion.it_must_be_a_positive_integer&##&,&##&it must be a positive integer&##&
&##&promotion.left_alignment&##&,&##&left alignment&##&
&##&promotion.the_division_level_can_not_be_empty&##&,&##&the division level can not be empty&##&
&##&promotion.check_out&##&,&##&check out&##&
&##&promotion.a_maximum_of_six_levels&##&,&##&a maximum of six levels&##&
&##&promotion.browsers_do_not_support&##&,&##&browsers do not support&##&
&##&promotion.an_evil_smile&##&,&##&an evil smile&##&
&##&promotion.personal_limit_purchase_number&##&,&##&personal limit purchase number&##&
&##&promotion.the_coordination_of_the_item_and_the_overall_appearance_of_the_document_is_fully_considered_in_the_&##&,&##&the coordination of the item and the overall appearance of the document is fully considered in the &##&
&##&promotion.rules_of_price_cutting&##&,&##&rules of price cutting&##&
&##&promotion.a_single_drop_promotion&##&,&##&a single drop promotion&##&
&##&promotion.mastery_of_skills&##&,&##&mastery of skills&##&
&##&promotion.the_end_of_payment_can_not_be_empty&##&,&##&the end of payment can not be empty&##&
&##&promotion.insert_video&##&,&##&insert video&##&
&##&promotion.view_the_task&##&,&##&view the task&##&
&##&promotion.the_start_time_of_sales_can_not_be_empty&##&,&##&the start time of sales can not be empty&##&
&##&promotion.custom_map&##&,&##&custom map&##&
&##&promotion.search&##&,&##&search&##&
&##&promotion.you_can_drag_the_file_here&##&,&##&you can drag the file here&##&
&##&promotion.number_of_participation&##&,&##&number of participation&##&
&##&promotion.conditions_of_use&##&,&##&conditions of use&##&
&##&promotion.use_objects&##&,&##&use objects&##&
&##&promotion.what_can_you_do&##&,&##&what can you do&##&
&##&promotion.the_picture_must_be_uploaded&##&,&##&the picture must be uploaded&##&
&##&promotion.alphabetical_lowercase&##&,&##&alphabetical lowercase&##&
&##&promotion.use_in_the_pop-up_dialog&##&,&##&use in the pop-up dialog&##&
&##&promotion.whether_or_not_to_reset_the_division_rules_must_be_chosen&##&,&##&whether or not to reset the division rules must be chosen&##&
&##&promotion.view_the_purchase_of_goods&##&,&##&view the purchase of goods&##&
&##&promotion.land&##&,&##&land&##&
&##&promotion.daily_limit&##&,&##&daily limit&##&
&##&promotion.activity_end_time_input_is_incorrect&##&,&##&activity end time input is incorrect&##&
&##&promotion.please_choose_the_brand_that_you_need_to_add&##&,&##&please choose the brand that you need to add&##&
&##&promotion.big_heart&##&,&##&big heart&##&
&##&promotion.the_list_of_merchants_can_not_be_empty&##&,&##&the list of merchants can not be empty&##&
&##&promotion.the_exclusion_can_not_be_put_into_effect&##&,&##&the exclusion can not be put into effect&##&
&##&promotion.please_choose_the_store&##&,&##&please choose the store&##&
&##&promotion.picture_format_is_wrong&##&,&##&picture format is wrong&##&
&##&promotion.each&##&,&##&each&##&
&##&promotion.exchange_number&##&,&##&exchange number&##&
&##&promotion.review&##&,&##&review&##&
&##&promotion.activity_description_cannot_be_empty&##&,&##&activity description cannot be empty&##&
&##&promotion.to_be_worried&##&,&##&to be worried&##&
&##&promotion.you_hacked&##&,&##&you hacked&##&
&##&promotion.finished&##&,&##&finished&##&
&##&promotion.details_of_the_collage_activities&##&,&##&details of the collage activities&##&
&##&promotion.the_value_of_the_winning_rate_is_unlawful&##&,&##&the value of the winning rate is unlawful&##&
&##&promotion.dispayment&##&,&##&dispayment&##&
&##&promotion.behavior_draw&##&,&##&behavior draw&##&
&##&promotion.a_list_of_members_of_the_group&##&,&##&a list of members of the group&##&
&##&promotion.this_can_be_a_long,_long,_long,_long,_long,_long,_long,_very_poor_summary&##&,&##&this can be a long, long, long, long, long, long, long, very poor summary&##&
&##&promotion.continue&##&,&##&continue&##&
&##&promotion.the_total_number_of_individual_purchases_must_be_positive_integers&##&,&##&the total number of individual purchases must be positive integers&##&
&##&promotion.the_upper_limit_of_the_number_of_users_daily_award&##&,&##&the upper limit of the number of users daily award&##&
&##&promotion.thursday&##&,&##&thursday&##&
&##&promotion.strip&##&,&##&strip&##&
&##&promotion.non_purchase&##&,&##&non purchase&##&
&##&promotion.upload_success&##&,&##&upload success&##&
&##&promotion.are_you_sure_you_want_to_set_up&##&,&##&are you sure you want to set up&##&
&##&promotion.case_sensitive&##&,&##&case sensitive&##&
&##&promotion.front_insert_line&##&,&##&front insert line&##&
&##&promotion.the_maximum_value_input_of_the_coupon_face_value_is_incorrect&##&,&##&the maximum value input of the coupon face value is incorrect&##&
&##&promotion.running_with_tears&##&,&##&running with tears&##&
&##&promotion.buy_and_sell&##&,&##&buy and sell&##&
&##&promotion.continue_to_add_a_single_promotion&##&,&##&continue to add a single promotion&##&
&##&promotion.platform_voucher&##&,&##&platform voucher&##&
&##&promotion.color_setting&##&,&##&color setting&##&
&##&promotion.sign_up_business_scope&##&,&##&sign up business scope&##&
&##&promotion.baidu_map&##&,&##&baidu map&##&
&##&promotion.batch_setup_information_can_not_be_empty&##&,&##&batch setup information can not be empty&##&
&##&promotion.rename&##&,&##&rename&##&
&##&promotion.a_failure&##&,&##&a failure&##&
&##&promotion.bubble_gum&##&,&##&bubble gum&##&
&##&promotion.pull_the_meat&##&,&##&pull the meat&##&
&##&promotion.total_restriction&##&,&##&total restriction&##&
&##&promotion.only_retain_text&##&,&##&only retain text&##&
&##&promotion.home_address&##&,&##&home address&##&
&##&promotion.issued&##&,&##&issued&##&
&##&promotion.full_package_mail&##&,&##&full package mail&##&
&##&promotion.key_into_the_document_title&##&,&##&key into the document title&##&
&##&promotion.im_sorry&##&,&##&im sorry&##&
&##&promotion.underway&##&,&##&underway&##&
&##&promotion.non_editable&##&,&##&non editable&##&
&##&promotion.create_a_successful_bargain&##&,&##&create a successful bargain&##&
&##&promotion.number_of_orders_for_each_order&##&,&##&number of orders for each order&##&
&##&promotion.copy_the_address_to_the_clipboard&##&,&##&copy the address to the clipboard&##&
&##&promotion.new_store&##&,&##&new store&##&
&##&promotion.not_through&##&,&##&not through&##&
&##&promotion.please_enter&##&,&##&please enter&##&
&##&promotion.combination&##&,&##&combination&##&
&##&promotion.look_at_the_servant&##&,&##&look at the servant&##&
